[2018-06-14 11:34:18,849] 10-DEBUG-ScanMaterial             [Main]-2018/6/14 11:34:18 启动运行物料过期扫描软件...
[2018-06-14 11:37:17,395] 9 -DEBUG-ScanMaterial             [Main]-2018/6/14 11:37:17 启动运行物料过期扫描软件...
[2018-06-14 11:37:23,525] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:37:23,536] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:37:23,548] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:37:23,555] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:37:23,571] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:37:23,577] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:37:23,587] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:43:48,793] 9 -DEBUG-ScanMaterial             [Main]-2018/6/14 11:43:48 启动运行物料过期扫描软件...
[2018-06-14 11:43:50,954] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:43:50,962] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:43:50,977] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:43:50,992] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:43:51,013] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:43:51,028] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:43:51,096] 9 -ERROR-ScanMaterial             [Run]-物料KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 11:43:59,077] 9 -DEBUG-ScanMaterial             [Main]-2018/6/14 11:43:59 结束运行物料过期扫描软件!
[2018-06-14 13:25:24,227] 10-DEBUG-ScanMaterial             [Main]-共查询到 ： 0 条记录，其中：异常 0 条， 过期 0 条!
[2018-06-14 13:25:24,249] 10-DEBUG-ScanMaterial             [Main]-共耗时：0 时 0 分 10 秒
[2018-06-14 13:26:22,824] 9 -DEBUG-ScanMaterial             [Main]-共查询到 ： 0 条记录，其中：异常 0 条， 过期 0 条!
[2018-06-14 13:26:22,846] 9 -DEBUG-ScanMaterial             [Main]-共耗时：0 时 0 分 53 秒
[2018-06-14 13:30:18,189] 9 -DEBUG-ScanMaterial             [Main]-共查询到 ： 0 条记录，其中：异常 0 条， 过期 0 条!
[2018-06-14 13:30:18,212] 9 -DEBUG-ScanMaterial             [Main]-共耗时：0 时 1 分 51 秒
[2018-06-14 13:31:28,034] 9 -DEBUG-ScanMaterial             [Main]-共查询到 ： 0 条记录，其中：异常 0 条， 过期 0 条!
[2018-06-14 13:31:28,068] 9 -DEBUG-ScanMaterial             [Main]-共耗时：0 时 0 分 26 秒
[2018-06-14 13:35:19,639] 8 -DEBUG-ScanMaterial             [Main]-共查询到 ： 0 条记录，其中：异常 0 条， 过期 0 条!
[2018-06-14 13:35:19,673] 8 -DEBUG-ScanMaterial             [Main]-共耗时：0 时 0 分 10 秒
