[2018-06-14 12:42:00,093] 1 -DEBUG-ScanMaterial             [Run]-2018/6/14 12:42:00 启动运行物料过期扫描软件...
[2018-06-14 12:42:12,425] 1 -ERROR-ScanMaterial             [Run]-共查询到：78512 条记录！
[2018-06-14 12:42:12,450] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:42:12,463] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:42:12,478] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:42:12,492] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:42:12,549] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:42:12,569] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:42:12,586] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=802001242的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:42:17,947] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=806001385的物料等级或者使用期限为空， Level=2, USER_DATE=
[2018-06-14 12:42:17,954] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=806001385的物料等级或者使用期限为空， Level=2, USER_DATE=
[2018-06-14 12:42:17,959] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=806001385的物料等级或者使用期限为空， Level=2, USER_DATE=
[2018-06-14 12:42:17,973] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=806001385的物料等级或者使用期限为空， Level=2, USER_DATE=
[2018-06-14 12:42:17,979] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=806001385的物料等级或者使用期限为空， Level=2, USER_DATE=
[2018-06-14 12:42:17,986] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=806001385的物料等级或者使用期限为空， Level=2, USER_DATE=
[2018-06-14 12:43:10,722] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:10,734] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:10,806] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:10,825] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:10,844] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
